84	Aluminium	12.069	3.92	2	55.86	151.21	1.1288	65.03	2.97	5.33	49.69	41.72	58.9	TRUE	no	83
85	Aluminium	9.4827	3.4747	1	24.82	152.82	1.0385	45	1.04	1.14	173.99	45.64	28.21	TRUE	no	84
86	Aluminium	8.6206	3.313	2	36.2	153.1	2.4218	129.03	3.12	4.22	46.75	46.55	57.99	TRUE	no	85
87	Aluminium	20.689	5.1325	2	57.38	153.96	3.8312	3.2639	3.29	6.56	177.8	44.4	30.5	TRUE	no	86
88	Aluminium	17.241	4.6853	1	153.15	157.55	1.9708	76.672	2.98	4.46	39.88	41.35	64.53	TRUE	no	87
89	Aluminium	40.517	7.1825	2	120.13	160.09	2.6579	11.357	6.61	12.52	179.63	46.97	23.67	TRUE	edge	88
90	Aluminium	18.965	4.914	2	90.18	157.09	2.9914	174.98	4.52	9.66	180.12	47.41	23.3	TRUE	no	89
91	Aluminium	9.4827	3.4747	2	100.27	158.27	1.6779	9.9916	1.7	3.96	40.76	43.96	61.9	TRUE	no	90
92	Aluminium	8.6206	3.313	1	136.7	160.7	2.9993	140.11	4.6	4.6	21.1	46.81	66.92	TRUE	edge	91
93	Aluminium	10.345	3.6292	2	142.67	160.67	2.0518	27.123	2.34	3.45	37.31	42.78	62.28	TRUE	edge	92
94	Aluminium	9.4827	3.4747	2	148.09	160.64	2.3318	143.53	3.41	3.75	172.39	43.24	25.46	TRUE	edge	93
95	Aluminium	17.241	4.6853	1	158.7	160.9	1.805	169.19	3.07	3.93	172.16	46.78	27.9	TRUE	edge	94
96	Aluminium	11.207	3.7774	2	106.85	161.69	5.7146	179.09	2.76	3.31	182.8	45.64	35.11	TRUE	edge	95
